,year_month,priceupmwh,pricedownmwh
4,2022-May,65.9809012539185,65.52286266484765
3,2022-June,61.2211407199626,50.9282508605852
28,2024-May,50.79441659886086,48.83177835951135
2,2022-July,78.32184417441029,48.52874788494078
26,2024-June,54.068023617153514,46.722972972972975
0,2022-August,111.62406609195402,43.01745187680462
21,2024-August,53.58955284006983,38.2768943949964
25,2024-July,45.70970187651332,33.013312181681556
5,2022-November,73.39624365482233,32.4424800861141
7,2022-September,90.88934405144694,31.763382556529766
1,2022-December,103.82410122164049,31.646189931350115
30,2024-October,51.840343193566916,26.134336738390203
6,2022-October,61.880799373040745,25.22140642808297
31,2024-September,52.842026363401395,21.857678637268638
12,2023-January,72.99058823529413,21.51899852724595
40,2025-May,14.7953962841016,16.171940271328417
13,2023-July,39.48067209775967,15.342746073705488
16,2023-May,35.90979128856624,14.895010139416984
9,2023-August,29.72865017361111,14.650238579368306
18,2023-October,56.38966054728092,14.300526232865922
20,2024-April,60.7967396528705,14.183629928227313
43,2025-September,13.731082656305192,14.127580985915493
33,2025-August,14.79354981019801,13.310854919821615
38,2025-June,20.842842516967675,13.245466733366683
8,2023-April,35.93349509680664,11.513477709027446
14,2023-June,25.085049180327868,11.309210940574578
19,2023-September,31.424906249999996,11.070719112805406
22,2024-December,53.82503737131576,10.692041646489104
11,2023-February,32.24722254844392,10.483832273586527
17,2023-November,54.794820971867004,9.933586134084111
37,2025-July,26.681257490725766,9.591522799212935
15,2023-March,36.052494219653184,9.43120611096221
10,2023-December,62.71260348272909,9.128257896895938
39,2025-March,13.43289145183175,8.249800557580956
29,2024-November,45.93755077658303,7.895581290959692
36,2025-January,36.57119277355779,7.851534148256141
27,2024-March,35.14363184079602,7.764569457915724
32,2025-April,10.787502383222117,6.971015404247561
24,2024-January,41.052182512924254,5.1716955892986265
42,2025-October,11.560179173693086,4.741320957761636
41,2025-November,8.59867767408471,4.379333742708013
23,2024-February,35.36588189284318,4.132299706612503
35,2025-February,22.874038573254328,3.608339334581593
34,2025-December,6.8356642824532035,2.2863884117714415
